season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,VANCOUVER GRIZZLIES,UTAH JAZZ,15.2,16.7,16.4,1
1999,INDIANA PACERS,WASHINGTON WIZARDS,-5.9,-6.6,-5,0
1999,TORONTO RAPTORS,ATLANTA HAWKS,4.5,5,3.6,0
1999,DETROIT PISTONS,CLEVELAND CAVALIERS,-5.1,-5.9,-2.2,0
1999,SAN ANTONIO SPURS,DALLAS MAVERICKS,-10.5,-11.8,-10.8,0
1999,LOS ANGELES CLIPPERS,HOUSTON ROCKETS,11.1,12.1,12.1,1
1999,DENVER NUGGETS,MIAMI HEAT,11.6,13.1,11.8,1
1999,CHARLOTTE HORNETS,NEW JERSEY NETS,-3.7,-4.2,-4.5,0
1999,PHOENIX SUNS,SEATTLE SUPERSONICS,-3.4,-3.1,-3.9,0
1999,MINNESOTA TIMBERWOLVES,VANCOUVER GRIZZLIES,-9.1,-9.8,-6.6,0
1999,DENVER NUGGETS,BOSTON CELTICS,4.7,5.2,3.1,1
1999,GOLDEN STATE WARRIORS,INDIANA PACERS,6.2,7.2,6,0
1999,SEATTLE SUPERSONICS,LOS ANGELES LAKERS,4.1,4.2,3.7,1
1999,NEW YORK KNICKS,MILWAUKEE BUCKS,0.7,0.6,-0.3,1
1999,MIAMI HEAT,PHILADELPHIA 76ERS,-2.9,-3.4,-4.2,0
1999,MINNESOTA TIMBERWOLVES,PORTLAND TRAIL BLAZERS,6,6.1,6.3,1
1999,ORLANDO MAGIC,TORONTO RAPTORS,-4.2,-4.5,-3,0
1999,DALLAS MAVERICKS,UTAH JAZZ,8.9,10.1,11.7,1
1999,CHARLOTTE HORNETS,WASHINGTON WIZARDS,-2.1,-2.3,-3.5,1
1999,GOLDEN STATE WARRIORS,CLEVELAND CAVALIERS,0.8,1,2.7,1
1999,DETROIT PISTONS,ORLANDO MAGIC,-0.8,-1.4,0.4,1
1999,SACRAMENTO KINGS,PHOENIX SUNS,2.7,2.6,3.5,0
1999,LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,16.9,18.7,18,1
1999,HOUSTON ROCKETS,VANCOUVER GRIZZLIES,-11,-11.8,-9.6,0
1999,SAN ANTONIO SPURS,DENVER NUGGETS,-14.7,-16.4,-14,0
1999,MIAMI HEAT,INDIANA PACERS,-1.3,-1.5,-3.4,1
1999,NEW JERSEY NETS,NEW YORK KNICKS,4.8,5.4,4.9,1
1999,WASHINGTON WIZARDS,PHILADELPHIA 76ERS,4.3,4.7,4.2,0
1999,HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS,4.1,4.1,3.3,1
1999,DALLAS MAVERICKS,SACRAMENTO KINGS,2,2.3,2,1
1999,MINNESOTA TIMBERWOLVES,SEATTLE SUPERSONICS,-1.5,-1.4,-0.3,0
1999,BOSTON CELTICS,TORONTO RAPTORS,0.3,0.2,1.6,1
1999,LOS ANGELES LAKERS,UTAH JAZZ,3.5,4.1,6.4,0
1999,WASHINGTON WIZARDS,DETROIT PISTONS,5.6,6.3,3.9,1
1999,PHILADELPHIA 76ERS,MIAMI HEAT,2.9,3.4,4.2,1
1999,CHICAGO BULLS,MILWAUKEE BUCKS,11.2,12.2,9.2,1
1999,ATLANTA HAWKS,ORLANDO MAGIC,-0.3,-0.5,-0.6,0
1999,PORTLAND TRAIL BLAZERS,VANCOUVER GRIZZLIES,-15.1,-15.9,-12.9,0
1999,BOSTON CELTICS,CHARLOTTE HORNETS,1.8,2.1,3.8,1
1999,NEW JERSEY NETS,CHICAGO BULLS,-5.7,-6.2,-4.6,1
1999,PHOENIX SUNS,DALLAS MAVERICKS,-4.7,-4.9,-5.5,0
1999,VANCOUVER GRIZZLIES,GOLDEN STATE WARRIORS,6.2,6.4,3.9,1
